Filename,Number of Object Get Resquests
misc-public/Aggregate_Small_Parquet_File_Glue_Job_Deployment.yaml,14
misc-public/AmazonSecurityLakeMetaStoreManager_IAM_Role.yaml,0
misc-public/GlueImmersionDay.yaml,255
misc-public/Glue_Job_Deployment_Create_Small_Parquet_Files.yaml,5
misc-public/KDA_studio_kinesis_demo.yaml,0
misc-public/OpenSearch_cloudwatch_alarms.yaml,209
misc-public/OpenSearch_cross_cluster_replication_demo.yaml,3
misc-public/OpenSearch_demo.yaml,6
misc-public/OpenSearch_demo_Cloud9_simple.yaml,0
misc-public/OpenSearch_demo_VPC.yaml,0
misc-public/OpenSearch_demo_alerting.yaml,1
misc-public/OpenSearch_demo_anomaly_detection.yaml,0
misc-public/OpenSearch_kNN_Vector_Search.yaml,4
misc-public/cloud_watch_dashboard.yaml,0
misc-public/dynamo_lambda_opensearch.yaml,0
misc-public/dynamo_lambda_opensearch_vpc.yaml,0
misc-public/emr_studio_demo.yaml,2
misc-public/kinesis_Cloud9.yaml,0
misc-public/logstash_cloud9_s3.yaml,2
misc-public/msk_cluster.yaml,0
misc-public/msk_cluster_Plaintext.yaml,0
misc-public/msk_cluster_TLS.yaml,0
misc-public/msk_lambda_opensearch.yaml,75
misc-public/opensearch-dashboard-no-ssl-ecs-fargate.yaml,13
misc-public/opensearch_Sigv4.yaml,2
misc-public/opensearch_deleteddocuments.yaml,0
misc-public/opensearch_nginx.yaml,65
misc-public/opensearchpy_Sigv4.yaml,0
